name,role,state,county,ageRange,gender,race,appointed,headshot,websites__url,websites__wiki,websites__facebook,websites__twitter,office__address__courthouse,office__address__street,office__address__city,office__address__zipcode,office__address__phone,office__email,openData,salary
Katherine Fernandez-Rundle,State Attorney,Florida,Miami-Dade County,,Female,,null,https://www.mdc.edu/main/images/MDCGaveMiamiDade_sideV_tcm6-6183.jpg,https://miamisao.com/,,https://www.facebook.com/KeepKatherineFernandezRundleStateAttorney,,,E. R. Graham Building 1350 N. W. 12 Avenue,Miami,33136,(305) 547-0100,,https://salaries.myflorida.com/?utf8=%E2%9C%93&by_name=Katherine+Rundle&by_agency=&by_class_code=&min_salary=0&max_salary=284300,"$192,105.00/yr"
Ed (Eduardo) A. Brodsky,State Attorney,Florida,"Desoto, Manatee, Sarasota",,Male,,null,https://www.sao12.org/home/showpublishedimage/296/636257851240230000,https://www.sao12.org/home,,https://www.facebook.com/brodsky.ed,,,"Criminal Justice Building, Suite 400 2071 Ringling Boulevard",Sarasota,34237-7000,(941) 861-4400,,https://salaries.myflorida.com/?utf8=%E2%9C%93&by_name=Ed+Brodsky&by_agency=&by_class_code=&min_salary=0&max_salary=284300,"$174,641.04/yr"
Andrew H. Warren,State Attorney,Florida,Hillsborough County,,Male,,null,https://www.sao13th.com/wp-content/uploads/2018/03/Andrew-H-Warren-State-Attorney-Florida-13th-Judicial-District.jpg?id=3257,https://www.sao13th.com/,,,https://twitter.com/AndrewWarrenFL?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,"County Courthouse Annex, 5th Floor 800 East Kennedy Boulevard",,Tampa,33602-4199,(813) 272-5400,,https://salaries.myflorida.com/?utf8=%E2%9C%93&by_name=andrew+warren&by_agency=&by_class_code=&min_salary=0&max_salary=284300,"$174,641.04/yr"
Larry Basford,State Attorney,Florida,"Bay County, Calhoun County, Gulf County, Holmes County, Jackson County, Washington County",,Male,,null,https://sa14.fl.gov/wp-content/uploads/2021/01/Larry-Basford-768x807.jpg,https://sa14.fl.gov/,,https://www.facebook.com/larry.basford.355,,,421 Magnolia Avenue,Panama City,32401,(850) 872-4473,,https://salaries.myflorida.com/?utf8=%E2%9C%93&by_name=larry+basford&by_agency=&by_class_code=&min_salary=0&max_salary=284300,"$192,105.00/yr"
Dave Aronberg,State Attorney,Florida,Palm Beach County,,Male,,null,http://www.sa15.state.fl.us/stateattorney/_images/OurOffice/Headshot2020lightened.jpg,http://www.sa15.state.fl.us/stateattorney/OurOffice/indexSAbio.htm,https://en.wikipedia.org/wiki/Dave_Aronberg,https://www.facebook.com/davearonberg,,,401 N. Dixie Highway,West Palm Beach,4209,(561) 355-7100,,https://salaries.myflorida.com/?utf8=%E2%9C%93&by_name=David+ARONBERG&by_agency=Justice+Admin+Commission&by_class_code=&min_salary=0&max_salary=284300,"$192,105.00/yr"
Dennis W. Ward,State Attorney,Florida,Monroe County,,Male,,null,https://www.keyssao.org/ImageRepository/Document?documentID=80,https://www.keyssao.org/,,https://www.facebook.com/dennis.ward.100,,,"530 Whitehead Street, Suite 201",Key West,6547,(305) 292-3400,,https://salaries.myflorida.com/?utf8=%E2%9C%93&by_name=dennis+ward&by_agency=&by_class_code=&min_salary=0&max_salary=284300,"$174,640.80/yr"
Harold F. Pryor,State Attorney,Florida,Broward County,,Male,African American,null,https://browardsao.com/wp-content/uploads/2021/01/HaroldPryor-bio-photo-web-2-400x400.jpg,https://browardsao.com/,,https://www.facebook.com/HPforStateAttorney2020,,,"201 S. E. 6th Street, Suite 665",Ft. Lauderdale,33301,(954) 831-6955,,http://www.transparencyflorida.gov/Positions/Positions_Detail.aspx?FY=22&BE=21501700&LBE=21501700&R=P&SC=F&OB=N,"$192,105.00/yr"
Phil Archer,State Attorney,Florida,"Brevard County, Seminole County",,Male,,null,http://sa18.org/images/phil-archer.jpg,https://sa18.org/,,https://www.facebook.com/StateAttorneyPhilArcher/,,,"2725 Judge Fran Jamieson Way, Bldg D",Viera,32940,321) 617-7510,,http://www.transparencyflorida.gov/Positions/Positions_Detail.aspx?FY=22&BE=21501800&LBE=21501800&R=P&SC=F&OB=N,"$192,105.00/yr"
Thomas Bakkedahl,State Attorney,Florida,"Martin County, St. Lucie County, Indian River County, Okeechobee County",,Male,,null,https://bloximages.newyork1.vip.townnews.com/hometownnewstc.com/content/tncms/assets/v3/editorial/a/9f/a9f8d55c-666e-11eb-b1d0-bbc33a9cad66/601b22f29040e.image.jpg?resize=300%2C450,www.SAO19.org ,,https://www.facebook.com/Bakkedahl4StateAttorney,,,411 South Second Street,Ft. Pierce,34950,(772) 465-3000,bfaulkner@sao19.org, https://salaries.myflorida.com/?utf8=%E2%9C%93&by_name=Thomas+Bakkedahl&by_agency=&by_class_code=&min_salary=0&max_salary=284300,"$174,641.04/yr"
Amira Fox,State Attorney,Florida,"Charlotte County, Collier County, Glades County, Hendry County, Lee County",,Female,White,null,https://www.sao20.org/wp-content/uploads/2019/02/amira-fox.jpg,https://sao20.org/,https://en.wikipedia.org/wiki/List_of_district_attorneys_by_county,https://sw-ke.facebook.com/pg/SAOAmiraFox/videos/,https://twitter.com/saoamirafox?lang=en,,"2000 Main Street, 6th Floor",Fort Myers,33901,(239) 533-1000,stateattorney@sao20.org,http://www.transparencyflorida.gov/Positions/Positions_Detail.aspx?FY=22&BE=21501800&LBE=21501800&R=P&SC=F&OB=N,"$174,641.00/yr"
,,,,,,,,,,,,,,,,,,,,
