title,langcode,body
Scott A. Haselman,en,"Fulton County
shaselman@fultoncountyoh.com <shaselman@fultoncountyoh.com>
152 S Fulton St, Suite 240, Wauseon, OH 43567 
Phone: (419) 337-9240 
Fx: (419) 337-9294
Website: https://www.fultoncountyoh.com/658/Prosecutor
Headshot: https://www.fultoncountyoh.com/ImageRepository/Document?documentID=7890"
"Gwen Howe- Gebers, JD",en,"Henry County 
ddress: Henry County Courthhouse, 660 N. Perry Street; Suite 101, Napoleon, OH 43545 
Phone: 419-591-3091
Fax: 567-341-4267
Email: prosecutor@henrycountyohio.com
Website: http://www.henrycountyohio.com/attorney.htm
Headshot: http://www.henrycountyohio.com/img3.jpg"
Gary L. Lammers,en,"Putnam County 
336 E. Main St., Suite B,Ottawa, Ohio 45875 
Fax: 419-523-4519 
Phone: 419-523-3600 
Website: http://www.putnamcountyohio.gov/ElectedOfficials/Prosecutor.aspx"
Juergen A. Waldick,en,"Allen County
Allen County Prosecutor’s Office 
204 North Main Street, Suite 302 
Lima, Ohio 45801
Phone Number:          419-222-2462
Fax Number:        419-227-1072
Website: http://www.allencountyprosecutor.net/
Headshot: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjSm9L5mvDbAhUKrVkKHUjMApQQjRx6BAgBEAU&url=http%3A%2F%2Fwww.allencountyprosecutor.net%2Fmeet-the-team.aspx&psig=AOvVaw3GueTgMiepqYt43TpU0ss-&ust=1530064063314167"
Edwin A. Pierce,en,"Auglaize County 
Suite 309, P.O. Box 1992 Wapakoneta, Ohio 45895
Phone: 419-739-6785 or 419-3943752
Fax: 419-739-6786
Website: http://www2.auglaizecounty.org/elected-officials/prosecuting-attorney
Headsot: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjHt9f3m_DbAhUqx1kKHUPLB24QjRx6BAgBEAU&url=http%3A%2F%2Fwww2.auglaizecounty.org%2Felected-officials%2Fprosecuting-attorney&psig=AOvVaw2Sa6-NX-i3tnhk6XN4Yjk3&ust=1530064326964832"
Timothy S. Sell,en,"Shelby County
1st Floor, P.O. Box 4159,Sidney, OH 45365
P: (937) 498-2101
F: (937) 658-6125
E: tsell@shelbycountyprosecutor.com
Website: http://co.shelby.oh.us/
Headshot: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjwy_nQxvTbAhUIrlkKHSP0DHAQjRx6BAgBEAU&url=https%3A%2F%2Fwww.shz-law.com%2Ftimothy-s-sell&psig=AOvVaw2TIGN8vXV3U13Z8zfKthC0&ust=1530213226104439"
Anthony E. Kendell,en,"Miami County
Safety Building
201 West Main Street, Second Floor, Troy, OH  45373
Phone: (937) 440-5960
Fax: (937) 440-5961
Website: http://www.co.miami.oh.us/index.aspx?NID=169
Headshot: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwj-qIGjx_TbAhWPrFkKHc8zBGcQjRx6BAgBEAU&url=https%3A%2F%2Fwww.tdn-net.com%2Fnews%2Flocal-news-1%2F5683%2Fprosecutor-kendell-to-seek-re-election&psig=AOvVaw06z7POAWN18dS-8rl6SECX&ust=1530213304249213

"
"Mat Heck, Jr",en,"Montgomery County
301 W. Third St. P.O. Box 972, Dayton, OH  45402
Phone: (937) 225-5757
Website: http://www.mcohio.org/prosecutor/
Headshot: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwj825-luP7bAhW6GDQIHbiDDDQQjRx6BAgBEAU&url=http%3A%2F%2Fwww.mcohio.org%2Fgovernment%2Felected_officials%2Fprosecutor%2Fbiography.php&psig=AOvVaw2_iX7Z9ca5m0Cn7qNH5moN&ust=1530552976221920"
David Fornshell,en,"Warren County
520 Justice Drive, Lebanon, Ohio 45036
Telephone: 513-695-1325
Fax: 513-695-2962
Email: David.Fornshell@warrencountyprosecutor.com
Website: http://www.co.warren.oh.us/prosecutor/
Headshot: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjtxfbsuP7bAhUMFXwKHZO8BAEQjRx6BAgBEAU&url=https%3A%2F%2Fwww.facebook.com%2FWarren-County-Prosecutor-David-P-Fornshell-165944916810588%2F&psig=AOvVaw0yDn2_kuy0aFXQOvw6lTPw&ust=1530553125760515"
Vincent Faris,en,"Clermont County 

Address: 76 South Riverside Dr, 2nd Floor, Batavia, OH 45103

Phone:513-732-7313
FAX: 513-732-7592

Website: http://clermontprosecutor.org/

Headshot: "
Julia R. Bates,en,"Lucas County 
1 Government Center, Toledo, OH 43604
Phone: 419-213-4000
Website: https://www.co.lucas.oh.us/290/Prosecutors-Office
Headshot: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwien6OQuv7bAhWeCTQIHb-LDd8QjRx6BAgBEAU&url=https%3A%2F%2Fwww.co.lucas.oh.us%2F290%2FProsecutors-Office&psig=AOvVaw02Rc30hip4BOPePcGpMQHV&ust=1530553460800768"
Paul Dobson,en,"Wood County
One Courthouse Square, Bowling Green, OH 43402 
Phone: (419) 354-9250
Website: http://prosecutor.co.wood.oh.us/
Headsot: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwi5gKfLuv7bAhVlIDQIHZfyCJwQjRx6BAgBEAU&url=http%3A%2F%2Fprosecutor.co.wood.oh.us%2Fstaff%2F&psig=AOvVaw1_r0_O3FhJgOZM1AvICIO5&ust=1530553592465761"
Phillip A. Riegle,en,"Hancock County
514 South Main Street, Suite B, Findlay, Ohio 45840
Phone:  419-424-7089
Fax:       419-424-7889
Website: https://co.hancock.oh.us/government-services/prosecutor
"
Bradford W. Bailey,en,"Hardin County
One Courthouse Square, Suite 50, Kenton, Ohio 43326. 
Telephone: (419) 674-2284. 
Fax: (419) 674-4767
Website: http://www.hardincountyprosecutor.com/"
Eric C. Stewart ,en,"Logan County
117 East Columbus Ave, Bellefontaine OH 43311
Ph:	937-593-3755 or 937-599-7272
Fx:	937-599-7271
Website: https://www.co.logan.oh.us/211/Prosecuting-Attorney
Headshot: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwicnJagvP7bAhVE7lQKHdYmBmcQjRx6BAgBEAU&url=https%3A%2F%2Fwww.linkedin.com%2Fin%2Feric-c-stewart-118631a&psig=AOvVaw1Q0qRtDtDexUkTqczuZPpu&ust=1530554038550236"
Kevin S. Talebi,en,"Champaign County 
CHAMPAIGN COUNTY MUNICIPAL COURT
205 S. Main Street, Urbana, OH 43078
P: (937) 653-7376
Website: *unsuccessful"
D. Andrew Wilson,en,"Clark County
50 E. Columbia St. Suite 449, Springfield, OH 45502 
Ph: 937-521-1770 
Fx: 937-328-2657 
"
Stephen K. Haller,en,"Greene County
61 Greene St.2nd Floor, Xenia, OH 45385
Ph:937) 562-5250
Fax: (937) 562-5107
Website: https://www.co.greene.oh.us/461/Prosecutor
Headshot: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjtvJul9ZXcAhUMTt8KHeSwDeEQjRx6BAgBEAU&url=https%3A%2F%2Fwww.co.greene.oh.us%2F470%2FMeet-the-Prosecutor&psig=AOvVaw1Cd3Wov-3sFlgWRdth9QsT&ust=1531359621049464"
Richard W. Moyer,en,"Clinton County 
103 E. Main Street, Wilmington, Ohio 45177
Ph: 937-382-4559
Website: https://clintonprosecutor.com/
Headshot: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiRpfWD9pXcAhVxh-AKHY-9BTsQjRx6BAgBEAU&url=https%3A%2F%2Fco.clinton.oh.us%2Fcourts%2Fprosecuting-attorney%2F&psig=AOvVaw3mWEKGkVovmJ3teHFch-k1&ust=1531359822417116"
Anneka Collins,en,"Highland County 
112 Governor Foraker Pl, Hillsboro, OH 45133
Ph: (937) 393-1851
Website: https://www.highlandcountyprosecutor.com/
Headshot: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwizuqLl9pXcAhXuguAKHUuTCzoQjRx6BAgBEAU&url=https%3A%2F%2Fhighlandcountypress.com%2FContent%2FIn-The-News%2FIn-The-News%2FArticle%2FHighland-County-Women-s-Hall-of-Fame-inductees-announced%2F2%2F20%2F34168&psig=AOvVaw04gfnLm8mCFn1tbfppo7gh&ust=1531360026815302"
Zac Corbin,en,"Brown County
510 E. State Street, Suite 2, Georgetown, Ohio 45121
Telephone  (937) 378-4151 
Fax  (937) 378-6529
Website: http://www.browncountyohio.gov/index.php/prosecutor45
Headshot: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjv4NWq95XcAhWJON8KHTQaBz8QjRx6BAgBEAU&url=https%3A%2F%2Fwww.linkedin.com%2Fin%2Fzac-corbin-24575017&psig=AOvVaw1_gTnBu6SplebHD2es5wrp&ust=1531360160012664"
James VanEerten,en,"Ottawa County 
315 Madison Street, Suite 205, Port Clinton, Ohio 43452
Office: 419-734-6845
FAX: 419-734-3862
Email: prosecutor@co.ottawa.oh.us
Website: https://www.co.ottawa.oh.us/index.php/prosecutor-temp/"
Timothy Braun,en,"Sandusky County
Address: 100 N. Park Ave. Suite 319, Fremont, Ohio 43420 
Telephone: (419) 334-6222
Fax: (419) 334-6232
Email: braun_tim@co.sandusky.oh.us
Website: http://sandusky-county.com/index.php?page=prosecutor
Headshot: *unclear which phot was accurate*"
Derek W. DeVine as of 2014 but current website only names assistant prosecutors,en,"Seneca County
Address: 71 S Washington St # 1204, Tiffin, OH 44883
Phone: (419) 448-4444
Website: http://senecapros.org/staff.html"
Douglas D. Rowland ,en,"Wyandot County 
137 S. Sandusky Ave. Upper Sandusky, OH 43351-1436
Ph: (419) 294-5878
Website: http://www.co.wyandot.oh.us/electedof.php"
Raymond A. Grogan,en,"Marion County 
Address: 134 E Center St, Marion, OH 43302
Phone: (740) 223-4290
Website: http://www.co.marion.oh.us/
"
David Phillips,en,"Union County
221 West Fifth Street, Marysville, Ohio 43040
Phone: (937) 645-4190
Fax:(937) 645-4191
E-mail: prosecutor@co.union.oh.us
Website: https://www.co.union.oh.us/"
Stephen J. Pronai,en,"Madison County 
59 North Main Street, London, Ohio 43140
Phone: 740 - 852-2259  
Fax: (740) 845-1694  
Email: madisoncountyprosecutor@co.madison.oh.us
Website: http://co.madison.oh.us/prosecutor/
Headshot:http://co.madison.oh.us/prosecutor/Prosecutor/imag001.jpg"
Jess Weade,en,"Fayette County
110 E. Court Street, Washington Court House, Ohio 43160
Phone:740.335.0888
Fax: 740.333.3539
E-mail: jess.weade@fayette-co-oh.com
Website: http://www.fayette-co-oh.com/
Headshot: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjivb_F_ZXcAhXOl-AKHRmICjoQjRx6BAgBEAU&url=http%3A%2F%2Fwww.ohiopa.org%2FFayette.html&psig=AOvVaw3p9b4vjluSiE6pI0k1_z6D&ust=1531361838594265
Assistant Prosecuting Attorney: Daniel Drake
Assistant Prosecuting Attorney: John Scott
Assistant Prosecuting Attorney: Sean Abbott
Office Administrator: Cindy Seaton
Administrative Assistant: April Keaton"
David Kelley,en,"Adams County
110 West Main Street Room 112, West Union, OH 45693-1389
Ph: 937-544-3600
Fax: 937-544-8296
E-mail: acpo@adamscountyoh.gov
Website: https://adamscountyoh.gov/"
Kevin J. Baxter,en,"Erie County
247 Columbus Avenue, Suite 319, Sandusky, OH 44870 *This is the 3rd one that had Sandusky as the town adress, is that normal?
Phone: (419) 627-7697  
Fax: (419) 627-7567
Toll Free: 1 (888) 399-6065
Website: https://www.eriecounty.oh.gov/Default.aspx
Assisstant Prosecutors
Ashley Thomas
Cheryl Goodrum
Pamela Gross
Susan R. Brown
Vicki R. Palmer
Martha Schultes
Anthony Battista III
Samuel Sidoti"
James J. Sitterly,,"Huron County 
2 E. Main St. 4th Floor
Norwalk, OH 44857
Telephone: 419-668-8215
Fax 419-663-3844
smiros@huroncountyohprosecutor.com
Website: http://huroncountyprosecutorsoffice.com/content/services
"
Matthew Crall,en,"Crawford County 
Address: 112 E Mansfield St # 305, Bucyrus, OH 44820
Phone: (419) 562-9782
Fax: 419-562-9533
Website: http://crawfordprosecutor.com/
Headshot: https://www.google.com/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwikyrHz_5XcAhWrmOAKHYxnCeEQjRx6BAgBEAU&url=http%3A%2F%2Fcrawfordprosecutor.com%2Fabout-the-prosecutor&psig=AOvVaw2nYpWDG6vmdlr5X7xivEiQ&ust=1531362471930347"
Charles S. Howland,en,"Morrow County
60 E High St, Mt Gilead, OH 43338
Phone: (419) 947-5515
Website: http://morrowcountyohio.gov/www/
https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjB4LKOm53cAhWnV98KHdgoDnkQjRx6BAgBEAU&url=https%3A%2F%2Fwww.morrowcountysentinel.com%2Fnews%2F6268%2Fhowland-seeks-re-election-as-morrow-county-prosecuting-attorney&psig=AOvVaw20Y9yuTFN59-9Om65uReUS&ust=1531610290953415"
Carol O'Brien,en,"Delaware County
140 North Sandusky St., 3rd Floor, P.O. Box 8006, Delaware, OH 43015
Phone: (740) 833-2690
Fax: (740) 833-2689
Email: delcoprosecutor@co.delaware.oh.us
Website:https://prosecutor.co.delaware.oh.us/about/
Headshot: https://ocvjc.org/sites/default/files/styles/galleryformatter_slide/public/mojgallery/2014%2BModels%2Bof%2BJustice%2B-%2B-104-3175166177-O.jpg?itok=qufQQTnT"
Ron O'Brien,en,"Franklin County
373 S. High Street, 14th Floor, Columbus OH 43215 
Phone: 614-525-3555
Website: https://prosecutor.franklincountyohio.gov/
Headshot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwjR8frenJ3cAhWqd98KHVJyDZkQjRx6BAgBEAU&url=https%3A%2F%2Fwww.facebook.com%2FRonOBrienFranklinCountyProsecutor%2F&psig=AOvVaw0QqxqGEKgzeULXSPczasjq&ust=1531610731464507"
Judy C. Wolford,en,"Pickaway County 
203 South Scioto Street, P.O. Box 910,Circleville, OH 43113
Phone: (740) 474-6066
Fax: (740) 477-7475
Website: http://www.pickaway.org/offices/prosecutor/index.html
Headshot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwi42fuunZ3cAhUGNd8KHQbnBtkQjRx6BAgBEAU&url=http%3A%2F%2Fwww.pickaway.org%2Foffices%2Fprosecutor%2Findex.html&psig=AOvVaw1IngIxeyt213d4ju9boNyv&ust=1531610900409277"
Matthew S. Schmidt,en,"Ross County
72 North Paint Street, Chillicothe, Ohio,  45601
Phone: 740-702-3115 
Fax: 740-702-3106 
Website: https://rosscountyprosecutor.com/"
Charles Robert Junk,en,"Pike County
100 E 2nd St, Waverly, OH 45690
Phone: (740) 947-4323
Website: http://www.pikecountycourt.org/"
Shane A. Tieman,en,"Scioto County 
612 6th St., Suite E Portsmouth, Ohio 45662 
Phone: (740) 981-3112 
Fax: (740) 876-8916
Website: http://sciotocountypo.org/wordpress1/
Headshot: http://sciotocountypo.org/wordpress1/wp-content/uploads/2018/07/Tieman1-300x200.jpeg"
Gary D. Bishop,en,"Richland County
Address: 38 South Park Street, 2nd Floor, Mansfield, Ohio  44902
Telephone: 419-774-5676
Fax: 419-774-5589
Website: http://richlandprosecutoroh.us/meet-the-team
Headshot: https://www.google.com/imgres?imgurl=https%3A%2F%2Fbloximages.newyork1.vip.townnews.com%2Frichlandsource.com%2Fcontent%2Ftncms%2Fassets%2Fv3%2Feditorial%2Fd%2F65%2Fd65ff540-920a-11e6-b815-5f74694eaf47%2F5800d2031c8d0.image.png&imgrefurl=http%3A%2F%2Fwww.richlandsource.com%2Fnews%2Fmeet-richland-co-prosecutor-candidate-gary-bishop%2Farticle_69adee84-920a-11e6-81ca-13a8a01dfcfe.html&docid=KjDMysGZJIUC5M&tbnid=lLntepepUUq-IM%3A&vet=10ahUKEwj6kqyspZ3cAhXiV98KHcNAD4IQMwg1KAAwAA..i&w=1142&h=638&bih=602&biw=1242&q=Gary%20D.%20Bishop%20prosecutor&ved=0ahUKEwj6kqyspZ3cAhXiV98KHcNAD4IQMwg1KAAwAA&iact=mrc&uact=8"
Chip McConville,en,"Knox County
117 East High Street, Suite 234, Mount Vernon, Ohio 43050
Phone:  740-393-6720
Fax:  740-397-7792
Email: prosecutor@co.knox.oh.us
Website: https://www.co.knox.oh.us/index.php/county-offices/prosecutor
Headshop: https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.limaohio.com%2Fwp-content%2Fuploads%2Fsites%2F54%2F2016%2F02%2Fweb1_108446498-7e8c8404739c4e55a51ec8072d4b15a6.jpg&imgrefurl=https%3A%2F%2Fwww.limaohio.com%2Fnews%2F164170%2Fman-accused-of-looking-to-kill-a-cop-charged-with-murder&docid=DbtXHimh0vyg-M&tbnid=VhEQNpJcMrnnwM%3A&vet=10ahUKEwiSveTopZ3cAhXtguAKHSniBtwQMwg1KAEwAQ..i&w=640&h=438&bih=602&biw=1242&q=Chip%20McConville%20prosecutor&ved=0ahUKEwiSveTopZ3cAhXtguAKHSniBtwQMwg1KAEwAQ&iact=mrc&uact=8"
Bill Hayes,en,"Licking County
20 S. Second St, Newark, Ohio 43055
T: 740-670-5255
F: 740-670-5241
Website: https://www.lcounty.com/depts/prosecutors/default.htm
Headshot: https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.lcounty.com%2Fimages%2FAgencies%2520and%2520Departments%2FProsecutor%2Fbill_headshot.jpg&imgrefurl=https%3A%2F%2Fwww.lcounty.com%2Fdepts%2Fprosecutors%2Fdefault.htm&docid=rC-8ySiHSB9xfM&tbnid=kYIXHETh3TkeRM%3A&vet=10ahUKEwjF-veQpp3cAhUPMd8KHfGOB04QMwg2KAAwAA..i&w=321&h=377&bih=602&biw=1242&q=Bill%20Hayes%20prosecutor&ved=0ahUKEwjF-veQpp3cAhUPMd8KHfGOB04QMwg2KAAwAA&iact=mrc&uact=8
"
Kyle Witt,en,"Fairfield County
239 West Main Street, Suite 101, Lancaster, Ohio 43130
P: 740-652-7560
P: 614-322-5265
F: 740-653-4708
Email: prosecutor@fairfieldcountyohio.gov
Website: https://www.co.fairfield.oh.us/prosecutor/About-Prosecuting-Attorney.html
Headshot: https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.co.fairfield.oh.us%2Fprosecutor%2Fimages%2FKyle-Witt-img.jpg&imgrefurl=https%3A%2F%2Fwww.co.fairfield.oh.us%2Fprosecutor%2FAbout-Prosecuting-Attorney.html&docid=t5tiqBuru650NM&tbnid=xZRbCSY2dxfOvM%3A&vet=10ahUKEwiBhcjApp3cAhXjYN8KHWyEARYQMwgyKAAwAA..i&w=229&h=256&bih=602&biw=1242&q=Kyle%20Witt%20prosecutor&ved=0ahUKEwiBhcjApp3cAhXjYN8KHWyEARYQMwgyKAAwAA&iact=mrc&uact=8"
Benjamin Fickel,en,"Hocking County 
88 S. Market St, Logan, Ohio 43138
Phone: (704) - 785-5343
Website: https://www.hockingprosecutor.org/index.htm
Headshot:https://www.google.com/imgres?imgurl=https%3A%2F%2Fbloximages.chicago2.vip.townnews.com%2Flogandaily.com%2Fcontent%2Ftncms%2Fassets%2Fv3%2Feditorial%2F0%2Fff%2F0ff7e909-0f5d-5c5b-96d3-66f6626b7e52%2F57aa1807456b5.image.jpg&imgrefurl=http%3A%2F%2Fwww.logandaily.com%2Fnews%2Frepublican-candidate-joins-prosecutor-s-race-in-november-election%2Farticle_f6b27e88-5b28-5b2c-9bd8-9b09ab86f590.html&docid=vu8WOxrzeR3KOM&tbnid=SzIZBClEMI5K_M%3A&vet=10ahUKEwiih9qzp53cAhWxct8KHVLGBmAQMwg3KAIwAg..i&w=1122&h=1141&bih=602&biw=1242&q=Benjamin%20Fickel%20prosecutor&ved=0ahUKEwiih9qzp53cAhWxct8KHVLGBmAQMwg3KAIwAg&iact=mrc&uact=8"
Trecia Kimes-Brown,en,"Vinton County
100 E. Main St, McArthor, Ohio
Phone: (740)-596-5445
Website: http://www.vintoncounty.com/government-a-to-z.html
"
Justin Lovett,en,"Jackson County
295 Broadway St, Suite 100, Jackson, OH 45640
phone (740) 286-5006
fax (740) 286-6556
Website: http://www.jacksoncountyohio.us/elected-officials/prosecuting-attorney/
Headshot: http://www.jacksoncountyohio.us/wp-content/uploads/2016/01/lovett.jpg
"
Brigham M. Anderson,en,"Lawrence County
1 Veterans Square, Ironton, Ohio 45638
Phone: 740-533-4360 
Fax: 740-533-4387 
Website: http://www.lawrencecountyprosecutor.org/
Headshot: http://www.lawrencecountyprosecutor.org/uploads/1/6/6/6/16666210/267804.jpg?283"
Dennis Will,en,"Lorain County
 225 Court St #3, Elyria, OH 44035
Phone: (440) 329-5389
Headshot: https://www.google.com/imgres?imgurl=https%3A%2F%2Flookaside.fbsbx.com%2Flookaside%2Fcrawler%2Fmedia%2F%3Fmedia_id%3D743413825836143&imgrefurl=https%3A%2F%2Fwww.facebook.com%2FLorainCountyProsecutorsOffice%2F&docid=HQ9KXkAxTLpa2M&tbnid=51WzRYIZ1RYCHM%3A&vet=10ahUKEwjBkdXRqZ3cAhWQON8KHYXsBqAQMwg6KAAwAA..i&w=685&h=960&bih=602&biw=1242&q=Dennis%20Will%20Prosecutor&ved=0ahUKEwjBkdXRqZ3cAhWQON8KHYXsBqAQMwg6KAAwAA&iact=mrc&uact=8"
Christopher R. Tunnell,en,"Ashland County
110 Cottage Street, 3rd floor, Ashland, Ohio 44805
Phone: 419-289-8857
Fax: 419-281-3865
Email: prosecutor@ashlandcounty.org
Website: https://www.ashlandcounty.org/prosecutor/
Headshot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiY5Irnqp3cAhUpWN8KHf83C0cQjRx6BAgBEAU&url=https%3A%2F%2Fwww.ashlandcounty.org%2Fprosecutor%2Findex.php%3Fid%3Dindex-1&psig=AOvVaw3CnCcDwPbACPFzC55VCCYf&ust=1531614503197217"
Sean Warner,en,"Holmes County
Address: 164 E. Jackson St. Millersburg, OH 44654
Phone: (330) 674-4841
Website: https://www.co.holmes.oh.us/prosecutor-overview
"
Jason W. Given,en,"Coshocton County
Address: 318 Chestnut Street, Coshocton, Ohio 43812
Phone: (740) 622-3566 
Fax: (740) 623-6520 
Website: https://www.coshoctoncounty.net/prosecutor/about-the-prosecutor/
Headshot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwik5dDcq53cAhUjT98KHb8-CFkQjRx6BAgBEAU&url=https%3A%2F%2Fwww.coshoctoncounty.net%2Fprosecutor%2Fabout-the-prosecutor%2F&psig=AOvVaw3KOm0phEeroMO8qPQ1szt7&ust=1531614752336261"
DENNIS MICHAEL HADDOX (R),en,"Muskingum County
Address: 3330 Dresden RD, Zanesville, OH 43701
Phone: 740-455-7123
Fax: 740-455-7141
"
Joseph A. Flautt,en,"Perry County
Address: 111 North High Street, P.O. Box 569, New Lexington, OH 43764
Phone: 740-342-4582
FAX: 740-342-3577
Website: http://perrycountyohio.net/
Headshot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiE4YGjrp3cAhVjkeAKHdfyDMgQjRx6BAgBEAU&url=http%3A%2F%2Fwww.ohiopa.org%2FPerry.html&psig=AOvVaw2pOVz0mdxBXF0JwHdN0d28&ust=1531615435166457"
Mark J. Howdyshell,en,"Morgan County
Address: 19 East Main Street, McConnelsville OH 43756-1125
Phone: 740-962-6478
FAX: 740-962-6664 
Website: http://www.morgancounty-oh.gov/
Headshot:http://www.ohiopa.org/Images/Morgan.jpg"
Keller Blackburn,en,"Athens County
Athens County Courthouse 1 South Court Street, First Floor, Athens, Ohio 45701
Phone: (740) 592-3208
FAX: (740) 592-3291
Website: http://athenscountyprosecutor.org/
Headshot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwiJvIDJx57cAhVDiOAKHVN7D3sQjRx6BAgBEAU&url=https%3A%2F%2Fwww.athensnews.com%2Fnews%2Flocal%2Ftv-report-slams-athens-county-prosecutor%2Farticle_4a82048e-ac20-11e6-9c07-739fb10f89dc.html&psig=AOvVaw026nDWlJhUTl70CNxC83ud&ust=1531656515793431"
James K. Stanley,en,"Meigs County

Address: 117 West 2nd St. Pomeroy, OH 45769

Phone: (740)-992-6371
Fax: (740)-992-6567

Website: http://meigscountyprosecutor.com/

Headshot: https://www.google.com/url?sa=i&source=images&cd=&cad=rja&uact=8&ved=2ahUKEwid6P6FyJ7cAhUinOAKHVXWA7cQjRx6BAgBEAU&url=http%3A%2F%2Fmeigsindypress.com%2F2018%2F01%2F15%2Ffaces-of-meigs-county-in-2018-james-k-stanley%2F&psig=AOvVaw2FZulQAp4F64YbEPiI1dlO&ust=1531656715638914"
