title,langcode,body
Gary King,en,"Eau Claire

Democrat

https://www.co.eau-claire.wi.us/departments/departments-a-k/district-attorney"
Douglas J. Dexler,en,"Florence

Republican

https://www.florencecountywi.com/departments/?department=b64230d9f70a"
Eric Toney,en,"Fond du Lac

Republican

https://www.fdlco.wi.gov/departments/departments-a-e/district-attorney"
Chuck Simono,en,"Forest

Democrat

https://www.co.forest.wi.gov/localgov_departments_details.asp?deptid=383&amp;locid=145"
Lisa A. Riniker,en,"Grant

Republican

https://www.co.grant.wi.gov/localgov_departments_details.asp?deptid=412&amp;locid=147"
Craig R. Nolen,en,"Green

Republican

https://www.co.green.wi.gov/localgov_departments_details.asp?deptid=107&amp;locid=148"
Andrew Christenson,en,"Green Lake

Republican

https://www.co.green-lake.wi.us/departments.html?Department=5"
Larry E. Nelson,en,"Iowa

Democrat

https://www.iowacounty.org/departments/districtattorney/districtattorney.shtml"
Matthew J. Tingstad,en,"Iron

Republican

https://www.co.iron.wi.gov/localgov_departments_details.asp?deptid=252&amp;locid=180"
Gerald R. Fox,en,"Jackson

Democrat"
Susan V. Happ,en,"Jefferson

Democrat

https://www.jeffersoncountywi.gov/departments/departments_in_a-e/district_attorney.php"
Kenneth Hamm,en,"Juneau

Republican

https://www.co.juneau.wi.gov/district-attorney1.html"
Mike Graveley,en,"Kenosha

Democrat

https://www.co.kenosha.wi.us/index.aspx?nid=148"
Andrew Naze,en,"Kewaunee

Democrat

https://www.kewauneeco.org/localgov_departments_details.asp?deptid=657&amp;locid=192"
Tim Gruenke,en,"La Crosse

Democrat

https://www.lacrossecounty.org/da/"
Jenna Gill,en,"Lafayette

Republican

https://www.co.lafayette.wi.gov/localgov_departments_details.asp?deptid=303&amp;locid=152"
Elizabeth R. Constable,en,"Langlade

Republican

https://www.co.langlade.wi.us/districtattorney.htm"
Galen Bayne-Allison,en,"Lincoln

Democrat

https://www.co.lincoln.wi.us/departments/?department=08a22fab37da"
Jacalyn LaBre,en,"Manitowoc

Republican

https://www.co.manitowoc.wi.us/departments/d-h/district-attorney/"
Theresa Wetzsteon,en,"Marathon

Democrat

https://www.co.marathon.wi.us/Departments/DistrictAttorney.aspx"
Allen R. Brey,en,"Marinette

Democrat

https://www.marinettecounty.com/departments/?department=96899d68c9b8"
Chad A. Hendee,en,"Marquette

Republican

https://www.co.marquette.wi.us/departments/district-attorney"
Greg Parker,en,"Menominee, Shawano

Republican

https://www.co.shawano.wi.us/departments/?department=61bb37660f4f"
John T. Chisholm,en,"Milwaukee

Democrat

https://county.milwaukee.gov/DistrictAttorney7715.htm"
Kevin Croninger,en,"Monroe

Republican

https://www.co.monroe.wi.us/departments/district-attorney/"
Ed Burke,en,"Oconto

Republican

https://www.co.oconto.wi.us/departments/?department=1567274d1eaf"
Michael W. Schiek,en,"Oneida

Republican

https://www.oneida.wi.gov/localgov_departments_details.asp?deptid=8&amp;locid=135"
Carrie Schneider,en,"Outagamie

Republican"
Adam Y. Gerol,en,"Ozaukee

Republican

https://www.co.ozaukee.wi.us/137/District-Attorney"
Jon D. Seifert,en,"Pepin

Democrat

https://www.co.pepin.wi.us/index.asp?SEC=0C6EEB38-A8E6-48E6-8F75-F4AF1D584808&amp;Type=B_BASIC"
Sean Froelich,en,"Pierce

Democrat

https://www.co.pierce.wi.us/District%20Attorney/District_Attorney_Main.php"
Jeff Kemp,en,"Polk

Republican

https://www.co.polk.wi.us/index.asp?SEC=72A2AE6D-126F-4C62-9245-96EB896F29E9&amp;Type=B_BASIC"
"Louis John Molepske, Jr.",en,"Portage

Democrat

https://www.co.portage.wi.us/department/district-attorney"
Mark T. Fuhr,en,"Price

Democrat

https://www.co.price.wi.us/173/District-Attorney"
Tricia Hanson,en,"Racine

Republican

https://www.racineco.com/districtattorney/index.aspx"
Jennifer Harper,en,"Richland

Republican

https://www.racineco.com/victimwitness/"
David J. O'Leary,en,"Rock

Democrat

https://www.co.rock.wi.us/dahttps://www.co.rock.wi.us/da"
Annette Barna,en,"Rusk

Democrat

https://www.ruskcounty.org/departments/district-attorney/"
Michael E. Nieskes,en,"Saint Croix

Republican

https://www.co.saint-croix.wi.us/index.asp?SEC=%7BC93960CA-51DE-46A0-BC26-8F6BC1B9CA64%7D"
Kevin R. Calkins,en,"Sauk

Independent

https://www.co.sauk.wi.us/districtattorney"
Bruce R. Poquette,en,"Sawyer

Republican

https://www.sawyercountygov.org/183/District-Attorney"
Joel Urmanski,en,"Sheboygan

Republican

https://www.sheboygancounty.com/government/departments-a-e/district-attorney"
Kristi S. Tlusty,en,"Taylor

Democrat

https://www.co.taylor.wi.us/departments/a-e/da/"
Taavi McMahon,en,"Trempealeau

Democrat

https://www.tremplocounty.com/tchome/district_attorney/home.aspx"
Timothy J. Gaskell,en,"Vernon

Republican

https://www.vernoncounty.org/DA/index.htm"
Martha J. Milanowski,en,"Vilas

Republican

https://www.co.vilas.wi.us/index.php?page=District-Attorney"
Zeke Wiedenfeld,en,"Walworth

Republican

https://www.co.walworth.wi.us/Judicial%20Center/District%20Attorney/default.aspx"
Angeline E. Winton,en,"Washburn

Democrat

https://www.co.washburn.wi.us/departments/district-attorney"
Mark D. Bensen,en,"Washington

Republican

https://www.co.washington.wi.us/departments.iml?mdl=departments.mdl&amp;ID=DAT"
Susan L. Opper,en,"Waukesha

Republican

https://www.waukeshacounty.gov/defaultwc.aspx?id=37463"
Veronica Isherwood,en,"Waupaca

Republican

https://www.co.waupaca.wi.us/departments/government_departments/district_attorney/index.php"
Scott C. Blader,en,"Waushara

Republican

https://www.co.waushara.wi.us/pView.aspx?id=12718&amp;catid=636"
Christian A. Gossett,en,"Winnebago

Republican

https://www.co.winnebago.wi.us/district-attorney"
Craig Lambert,en,"Wood

Republican

https://www.co.wood.wi.us/Departments/DA/"
CITY ATTORNEY,,
,,"Antigo

https://winterlegal.com/Attorneys.html"
,,
,,"Appleton City Attorney

https://appleton.org/government/attorney-s-office"
,,
,,"Beaver Dam City Attorney

https://www.cityofbeaverdam.com/department/index.php?structureid=3"
,,
,,"Beloit City Attorney

https://www.beloitwi.gov/index.asp?Type=B_BASIC&amp;SEC={2DCF2EC7-F6B2-41C4-904A-9B664598AA63}"
,,
,,"Brookfield City Prosecutor

https://www.ci.brookfield.wi.us/index.aspx?nid=211"
,,
,,"Burlington City Attorney

https://www.burlington-wi.gov/index.aspx?nid=96"
,,
Johnathan Woodward,,"Cedarburg City Attorney

https://www.housemanlaw.com/Johnathan_Woodward.html"
,,
,,"De Pere City Attorney

https://www.de-pere.org/department/?structureid=6"
,,
,,"Eau Claire City Attorney

https://www.ci.eau-claire.wi.us/departments/administration-services/city-attorney
"
,,"Erin Town Attorney

https://www.housemanlaw.com/Johnathan_Woodward.html"
,,"Fitchburg City Attorney

https://www.fitchburgwi.gov/828/City-Attorney"
,,"Fond du Lac City Attorney

https://www.fdl.wi.gov/general-information.iml?DeptID=4"
,,"Fredonia Village Attorney

https://www.housemanlaw.com/Johnathan_Woodward.html"
,,"Grafton Village Attorney

https://www.housemanlaw.com/Johnathan_Woodward.html"
,,
,,
,,
,,
,,
,,
,,
,,
https://www.ci.greenfield.wi.us/149/City-Attorney,,
Greenfield City Attorney,,
,,
https://www.ci.janesville.wi.us/government/departments-divisions/attorney-s-office,,
Janesville City Attorney,,
,,
https://www.cityofkaukauna.com/departments/attorneys-office/,,
Kaukauna City Attorney,,
,,
https://kenosha.org/departments/attorney/index.html,,
Kenosha City Attorney,,
,,
https://www.cityoflacrosse.org/index.aspx?nid=15,,
LaCrosse City Attorney,,
,,
https://www.cityoflacrosse.org/businessdirectoryii.aspx?bid=27,,
LaCrosse Municipal ProsecutorLake Geneva City Attorney<br />,,
,,
https://www.ci.lake-mills.wi.us/index.asp?SEC=8949F785-0D60-43DC-A330-7FF1242AEBD4&amp;Type=B_BASIC,,
Lake Mills City Attorney,,
,,
https://www.cityofmadison.com/attorney/index.cfm,,
Madison City Attorney,,
,,
https://www.manitowoc.org/attorney,,
Manitowoc City Attorney,,
,,
https://marinette.wi.us/index.php/departments/city-attorney,,
Marinette City Attorney,,
,,
https://www.cityofmenasha-wi.gov/departments/city_attorney/index.php,,
Menasha City Attorney,,
,,
https://www.ci.mequon.wi.us/index.asp?Type=B_BASIC&amp;SEC=%7BC805F607-7EB8-4DEB-8396-A0F36E8A6B3B%7D,,
Mequon City Attorney,,
,,
https://www.ci.merrill.wi.us/index.asp?SEC=329B3DB6-BA74-4408-A657-68ECCB365F51&amp;Type=B_BASIC,,
Merrill City Attorney,,
,,
https://city.milwaukee.gov/CityAttorney#.VnmHAxUrIRk,,
Milwaukee City Attorney,,
,,
https://www.ci.neenah.wi.us/departments/city-attorney/,,
Neenah City Attorney,,
,,
https://neillsville.townwebdesign.com/city-departments/city-attorney,,
Neillsville City Attorney,,
,,
https://www.haskinkarls.com/our-attorneys/,,
Oak Creek City AttorneyOconomowoc City Attorney<br />,,
,,
https://www.cityofonalaska.com/index.asp?Type=B_BASIC&amp;SEC=%7BCA8CE391-CBDF-4F20-AB36-F0EDDBC884B5%7D,,
Onalaska City Attorney,,
,,
https://www.ci.oshkosh.wi.us/City_Attorney/,,
Oshkosh City Attorney,,
,,
https://cityofracine.org/Attorney/,,
Racine City Attorney,,
,,
https://www.sheboyganwi.gov/departments/city-attorney/,,
Sheboygan City Attorney,,
,,
https://smwi.org/city-attorney/,,
South Milwaukee City Attorney,,
,,
https://www.ci.superior.wi.us/index.aspx?nid=73,,
Superior City Attorney,,
,,
https://www.housemanlaw.com/Johnathan_Woodward.html,,
Thiensville Village Attorney,,
,,
https://viroqua-wisconsin.com/city-of-viroqua/departments/municipal-court,,
Viroqua City Attorney,,
,,
https://www.ci.watertown.wi.us/departments/city_attorney/index.php#.VnmHERUrIRk,,
Watertown City Attorney,,
,,
https://www.ci.waukesha.wi.us/web/guest/attorney,,
Waukesha City Attorney,,
,,
https://www.ci.wausau.wi.us/Departments/Attorney.aspx,,
Wausau City Attorney,,
,,
https://www.wauwatosa.net/index.aspx?NID=84,,
Wauwatosa City Attorney,,
,,
https://www.westalliswi.gov/index.aspx?NID=94,,
West Allis City Attorney,,
,,
https://www.ci.west-bend.wi.us/City-Attorney/,,
West Bend City Attorney</a> <small>[</small><small>,,
,,
,,
,,
,,
,,"City Attorney

Wisconsin Rapids

https://www.wirapids.org/department/division.php?structureid=47"
