title,langcode,body
David Linn,en,"MADERA COUNTY

District Attorney
209 West Yosemite Avenue
Madera, CA 93637
Phone: (559) 675-7726 Fax: (559) 673-0430
https://www.madera-county.com/index.php/department-overview"
Edward Berberian,en,"MARIN COUNTY

District Attorney
3501 Civic Center Drive, Room 130
San Rafael, CA 94903
Phone: (415) 499-6450 Fax: (415) 499-6734
https://www.marincounty.org/depts/da"
Tom Cooke,en,"MARIPOSA COUNTY

District Attorney
P.O. Box�730
Mariposa, CA 95338
Phone: (209) 966-3626�Fax: (209) 966-5681
https://www.mariposacounty.org/index.aspx?nid=74"
C. David Eyster,en,"MENDOCINO COUNTY

District Attorney
P.O. Box 1000
Ukiah, CA 95482
Phone: (707) 463-4211 Fax: (707) 463-4687
https://www.co.mendocino.ca.us/da/"
Larry Morse II,en,"MERCED COUNTY

District Attorney
550 West Main Street
Merced, CA 95340
Phone: (209) 385-7381 Fax: (209) 725-3669
https://www.co.merced.ca.us/da"
Jordan Funk,en,"MODOC COUNTY

District Attorney
204 S. Court Street Room 202
Alturas, CA 96101
Phone: (530) 233-6212 Fax: (530) 233-4067
https://www.monocounty.ca.gov/departments/district_attorney/district_attorney.html"
Tim Kendall,en,"MONO COUNTY

District Attorney
P.O. Box�2053
Mammoth Lakes, CA 93546
Phone: (760)�924-1710 Fax: (760)�924-1711"
Dean Flippo,en,"MONTEREY COUNTY

District Attorney
P.O. Box 1131
Salinas, CA 93902
Phone: (831) 755-5070 Fax: (831) 796-3389
https://www.co.monterey.ca.us/da"
Allison Haley,en,"NAPA COUNTY

District Attorney
P.O. Box�720
Napa, CA 94559
Phone: (707) 253-4211 Fax: (707) 253-4041
https://www.countyofnapa.org/DA/"
Clifford Newell,en,"NEVADA COUNTY

District Attorney
201 Commercial Street
Nevada City, CA 95959
Phone: (530) 265-1301 Fax: (530) 478-1871
https://www.mynevadacounty.com/nc/da/Pages/Home.aspx"
Tony Rackauckas,en,"ORANGE COUNTY

District Attorney
401 Civic Center Drive West
Santa Ana, CA 92701
Phone: (714) 834-3600 Fax: (714) 834-5880
https://orangecountycadistrictattorney.com (?)"
R. Scott Owens,en,"PLACER COUNTY

District Attorney
10810 Justice Center Drive
Roseville, CA 95678
Phone: (916) 543-8000 Fax: (916) 543-2550
https://www.placer.ca.gov/departments/da"
David Hollister,en,"PLUMAS COUNTY

District Attorney
520 Main Street, Room 404
Quincy, CA 95971
Phone: (530) 283-6303 Fax: (530) 283-6340
https://www.plumascounty.us/districtattorney"
Michael Hestrin,en,"RIVERSIDE COUNTY

District Attorney
3960 Orange Street
Riverside, CA 92501
Phone: (951) 955-5400 Fax: (951) 955-5682
https://www.rivcoda.org/"
Candice Hooper-Mancino,en,"SAN BENITO COUNTY
419 4th Street
Hollister, CA 95023
Phone: (831) 636-4120 Fax: (831) 636-4126"
Michael Ramos,en,"SAN BERNARDINO COUNTY

District Attorney
303 W. Third Street
San Bernardino, CA 92415
Phone: (909) 387-8309 Fax: (909) 387-6444
https://www.sbcounty.gov/da/"
Summer Stephan,en,"SAN DIEGO COUNTY

Interim District Attorney
330 W. Broadway, Suite 1300
San Diego, CA 92101
Phone: (619) 531-4040 Fax:(619) 237-1351
https://www.sdcda.org/"
George Gascon,en,"SAN FRANCISCO COUNTY

District Attorney
880 Bryant Street, Third Floor
San Francisco, CA 94103
Phone: (415) 553-1751 Fax: (415)�575-8815
https://www.sfdistrictattorney.org"
Tori Verber Salazar,en,"SAN JOAQUIN COUNTY

District Attorney
P.O. Box�990
Stockton, CA 95202
Phone: (209) 468-2400 Fax: (209) 465-0371
https://www.sjgov.org/da"
Dan Dow,en,"SAN LUIS OBISPO COUNTY

District Attorney
Courthouse Annex, 4th Floor
San Luis Obispo, CA 93408
Phone: (805) 781-5800 Fax: (805) 781-4307
https://www.slocounty.ca.gov/da.htm"
Stephen M. Wagstaffe,en,"SAN MATEO COUNTY

District Attorney
400 County Center, Third Floor
Redwood City, CA 94063
Phone: (650) 363-4636 Fax: (650) 363-4873
https://www.co.sanmateo.ca.us/portal/site/districtattorney/"
Joyce Dudley,en,"SANTA BARBARA COUNTY

District Attorney
1112 Santa Barbara Street
Santa Barbara, CA 93101
Phone: (805) 568-2300 Fax: (805) 568-2398
https://www.countyofsb.org/da/index.asp"
Jeffrey Rosen,en,"SANTA CLARA COUNTY

District Attorney
70 West Hedding Street, West Wing
San Jose, CA 95110
Phone: (408) 290-7400 Fax: (408) 286-5437
https://www.santaclara-da.org/portal/site/da/"
Jeff Rosell,en,"SANTA CRUZ COUNTY

District Attorney
701 Ocean Street, Room 200
Santa Cruz, CA 95060
Phone: (831) 454-2400 Fax: (831) 454-2227
https://datinternet.co.santa-cruz.ca.us/"
Stephanie A. Bridgett,en,"SHASTA COUNTY

District Attorney
1355 West Street
Redding, CA 96001
Phone: (530) 245-6300 Fax: (530) 245-6334
https://www.da.co.shasta.ca.us/"
Lawrence Allen,en,"SIERRA COUNTY

District Attorney
100 Courthouse Square
Downieville, CA 95936
Phone: (530) 289-3269 Fax: (530) 289-2822
https://www.sierracounty.ca.gov/index.aspx?nid=221"
James Kirk Andrus,en,"SISKIYOU COUNTY

District Attorney
P.O. Box�986
Yreka, CA 96097
Phone: (530) 842-8125 Fax: (530) 842-8137
https://www.co.siskiyou.ca.us/page/district-attorneys-office"
Krishna A. Abrams,en,"SOLANO COUNTY

District Attorney
675 Texas Street, Suite 4500
Fairfield, CA 94533
Phone: (707) 784-6800 Fax: (707) 784-7986
https://www.solanocounty.com/da"
Jill Ravitch,en,"SONOMA COUNTY

District Attorney
600 Administration Drive, Room 212J
Santa Rosa, CA 95403
Phone: (707) 565-2311 Fax: (707) 565-6187
https://www.sonoma-county.org/da/index.htm"
Birgit Fladager,en,"STANISLAUS COUNTY

District Attorney
832 12th Street, Suite 300
Modesto, CA 95353
Phone: (209) 525-5550 Fax: (209) 558-4027
https://www.stanislaus-da.org"
Amanda L. Hopper,en,"SUTTER COUNTY

District Attorney
446 Second Street, Suite�102
Yuba City, CA 95991
Phone: (530) 822-7330 Fax: (530) 822-7337
https://www.co.sutter.ca.us/doc/government/depts/da/da_home"
Gregg Cohen,en,"TEHAMA COUNTY

District Attorney
P.O. Box�519
Red Bluff, CA 96080
Phone: (530) 527-3053 Fax: (530) 527-4735
https://www.co.tehama.ca.us/district-attorney"
Eric Heryford,en,"TRINITY COUNTY

District Attorney
P.O. Box 310
Weaverville, CA 96093
Phone: (530) 623-1304 Fax: (530) 623-8346
https://www.trinitycounty.org/index.aspx?page=62"
Tim Ward,en,"TULARE COUNTY
221 South Mooney Blvd., Suite 224
Visalia, CA 93291
Phone: (559) 636-5494 Fax: (559) 730-2658
https://www.da-tulareco.org/"
Laura Krieg,en,"TUOLUMNE COUNTY
423 No. Washington Street
Sonora, CA 95370
Phone: (209) 588-5450 Fax: (209) 588-5445
https://www.tuolumnecounty.ca.gov/index.aspx?NID=166"
Gregory Totten,en,"VENTURA COUNTY
800 South Victoria Avenue
Ventura, CA 93009
Phone: (805) 654-2500 Fax: (805) 654-3850
https://www.vcdistrictattorney.com/"
Jeffery Reisig,en,"YOLO COUNTY
301 Second Street
Woodland, CA 95695
Phone: (530) 666-8180 Fax: (530) 666-8423
https://yoloda.org/"
Patrick McGrath,en,"YUBA COUNTY
215 Fifth Street, Suite 152
Marysville, CA 95901
Phone: (530) 749-7770 Fax: (530) 749-7363
https://www.co.yuba.ca.us/Departments/DA/"
