title,langcode,body
Brenda F. Mitchell,en,"11th Judicial District

Bolivar, Coahoma, Quitman, Tunica District

P.O.Box 848
Cleveland, MS  38732

Ph: 662-843-8000

https://www.co.bolivar.ms.us/district-attorney

https://www.facebook.com/Office-of-the-District-Attorney-Brenda-F-Mitchell-1892527314320439/

Recent Articles
https://msbusiness.com/2010/02/mitchell-tapped-as-da/"
Patricia W. Burchell,en,"12th Judicial District

Forrest, Perry District

P. O. Box 166
Hattiesburg, MS 39403-0166
Phone: (601) 545-1551
Fax: (601) 545-6097

https://sites.google.com/site/forrestperryda/"
Matthew Sullivan,en,"13th Judicial District

Covington, Jasper, Simpson, Smith District

100 Court Ave Ste 4
Mendenhall, MS 39114
(601) 847-1342"
"D.A. ""Dee"" Bates",en,"14th Judicial District

Lincoln, Pike, Walthall District

Pike & Walthall Office
223 West Bay Street
Magnolia, MS 39652
Telephone: (601)783-6677
Facsimile: (601)783-5646
E-mail: districtattorney@msda14.us

Lincoln Office
301 South First Street Suite 207
Brookhaven, MS 39601
Telephone: (601)833-3811
Facsimile: (601)835-2942
E-mail: districtattorney-lincoln@msda14.us

Office of District Attorney Dee Bates
ph: (601) 783-6677 - Pike Office
alt: (601) 833-3811 - Lincoln Office
districtattorney@msda14.us
https://msda14.us/"
Hal Kittrell,en,"15th Judicial District

Jefferson Davis, Lamar, Lawrence, Marion, Pearl River District

da15thdistrict.org

Office of the District Attorney
500 Courthouse Square, Suite 3
Columbia, MS 39429

Office: 601-731-1476
Checks: 601-736-2164
Fax: 601-731-1489
E-Mail: office@da15thdistrict.org
"
Scott Colom,en,"16th District

Clay, Lowndes, Noxubee, Oktibbeha

https://www.msda16.org/scott-colom

https://www.facebook.com/colomforda16"
John Champion,en,"17th Judicial District

DeSoto, Panola, Tallahatchie, Tate, Yalobusha District

DeSoto
365 Losher Street, Suite 210
Hernando, MS 38632
Phone: (662) 469-8014
Bad Check Unit: (662) 469-8230
Fax: (662) 469-8231

Serving the counties of Tate, Panola, Tallahatchie, and Yalobusha.
101 Eureka Street
Batesville, MS 38606
Phone: (662) 563-6636
Fax: (662) 563-6652

jchampion@msda17.com

https://msda17.com/"
Tony Buckley,en,"18th Judicial District

Jones District

Can't find information; post recent articles to fill the gap"
"Anthony N. Lawrence, III",en,"19th Judicial District

George, Greene, Jackson District

Jackson County Courthouse:
3104 Magnolia Street
2nd Floor
Pascagoula, MS 39568

Phone: 228-769-3045

Mailing Address:
P.O. Box 1756
Pascagoula, MS 39568

https://www.msda19.com/"
Michael Guest,en,"20th Judicial District

Madison, Rankin District

Rankin County
215 East Government Street
Second Floor
Rankin County Justice Center
Brandon, Mississippi 39042
Phone: (601) 825-1472
Fax: (601) 825-9605

Madison County
3390 North Liberty Street, Suite B
Post Office Box 121
Canton, Mississippi 39046
Phone: (601) 859-7838
Fax: (601) 859-8880

https://www.daguest.com/

Sworn in: January 2008"
Akillie Malone-Oliver,en,"21st Judicial District

Holmes, Humphreys, Yazoo District

Durant Office
P. O. Box 311
Durant, MS 39063
(662)653-3191
(662)653-6723

Yazoo Office
P. O. Box 108
Yazoo City, MS 39194
(662)746-5429
(662)746-8660

email:  districtattorney21st@yahoo.com
https://www.21stcircuitcourtms.us/district-attorney.html"
Alexander Martin,en,"22nd Judicial District

Claiborne, Copiah, Jefferson

alexmart@bellsouth.net

Post Office Drawer 767
Hazlehurst, Mississippi 39083-0767
Telephone: (601) 894-5040Fax: (601) 894-9080

Copiah County
272 West Gallatin Street
(across the street from the Courthouse)
Phone: (601) 894-5040

Claiborne County
Located on the third floor of the Courthouse
Phone: (601) 437-3822

Jefferson County
Located on the second floor of the Courthouse
Phone: (601) 786-8630

https://copiahcounty.org/?page_id=41"
