name,role,state,county,party,ageRange,gender,race,appointed,headshot,websites__url,websites__wiki,websites__googleNews,websites__facebook,websites__twitter,office__address__poBox,office__address__courthouse,office__address__street,office__address__city,office__address__zipcode,office__address__phone,office__email,articles__title,articles__url,articles__summary,articles__featuredImage
M.L. ‘Skip’ Ebert Jr.,District Attorney,Pennsylvania,Cumberland,Republican,,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/cumberlandco.jpg,https://www.ccpa.net/112/District-Attorney,,,,https://twitter.com/skipebert,,Cumberland County Courthouse,1 Courthouse Square,Carlisle,17013,717.240.6210,districtattorney@ccpa.net,,,,
Francis T Chardo,District Attorney,Pennsylvania,Dauphin,Republican,50-60,male,white,,https://www.pdaa.org/wp-content/uploads/2013/05/dauphinco.jpg,https://www.dauphincounty.org/government/publicly_elected_officials/district_attorney/index.php,,,,,,Dauphin County Courthouse,101 Market Street,Harrisburg,17101,(717) 780-6767,,,,,
Jack Stollsteimer,District Attorney,Pennsylvania,Delaware,Democrat,50-60,male,white,,https://www.pdaa.org/wp-content/uploads/2013/05/delco.jpg,http://www.delcoda.com/,,,,,,Delaware County Courthouse,201 West Front Street,Media,19063,610-891-4161,,,,,
Tom Coppolo,District Attorney,Pennsylvania,Elk,Democrat,,male,white,,https://www.pdaa.org/wp-content/uploads/2020/01/elkco.jpg,http://www.co.elk.pa.us/index.php/government/local-government/county-offices/itemlist/category/27-district-attorney,,,,,P.O. Box 448,Elk County Courthouse,240 Main St,Ridgway,15853,(814) 776-5325,,,,,
Jack Daneri,District Attorney,Pennsylvania,Erie,Republican,60-70,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/erieco.jpg,https://eriecountypa.gov/elected-officials/district-attorney/,,,,,Suite 506,Erie County Courthouse,140 West Sixth St,Erie,16501, 814-451-6349, districtattorney@eriecountypa.gov,,,,
Richard Bower,District Attorney,Pennsylvania,Fayette,Democrat,,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/Fayette.jpg,https://www.fayettecountypa.org/492/District-Attorneys-Office,,,,,,Fayette County Courthouse,61 East Main St,Uniontown,15401,(724) 430-1245,,,,,
Alyce Marie Busch,District Attorney,Pennsylvania,Forest,Democrat,40-50,female,white,,https://www.pdaa.org/wp-content/uploads/2020/01/forest.jpg,http://www.co.forest.pa.us/government/district_attorney.php,,,,,,,526 Elm Street #5,Tionesta,16353,(814) 755-3164,abusch@co.forest.pa.us,,,,
Matt Fogal,District Attorney,Pennsylvania,Franklin,Republican,40-50,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/franklinco.jpg,http://www.franklincountypa.gov/index.php?section=judicial_district-attorney,,,,,,Franklin County Courthouse,157 Lincoln Way East,Chambersburg,17201,(717) 261-3827,,,,,
Travis Kendall,District Attorney,Pennsylvania,Fulton,Republican,50-60,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/fultonco.jpg,http://www.co.fulton.pa.us/district-attorney.php,,,,,,,126 North Second Street,McConnellsburg,17233,(717)-485-5419,districtattorney@co.fulton.pa.us,,,,
David J Russo,District Attorney,Pennsylvania,Greene,Republican,40-50,male,white,,https://www.pdaa.org/wp-content/uploads/2020/01/greenco.jpg,https://www.co.greene.pa.us/Department-District-Attorney,,,,,Room 304,Greene County Courthouse,10 East High St,Waynesburg,15370,724-852-5272,,,,,
David G Smith,District Attorney,Pennsylvania,Huntingdon,Republican,,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/huntingdonco.jpg,http://www.huntingdoncounty.net/Dept/CommonPleas/DA/Pages/default.aspx,,,,,,Huntingdon County Courthouse,207 Washington St,Huntingdon,16652,814-643-5371,,,,,
Bob F Manzi Jr,District Attorney,Pennsylvania,Indiana,Republican,40-50,male,white,,https://www.pdaa.org/wp-content/uploads/2020/01/indianaco.jpg,https://www.indianacountypa.gov/departments/district-attorney/,,,,,3rd Floor,Indiana County Courthouse,825 Philadelphia St,Indiana,15701,(724) 465-3835,,,,,
Jeff Burkett,District Attorney,Pennsylvania,Jefferson,Democrat,40-50,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/jeffersonco.jpg,http://www.jeffersoncountypa.com/district-attorney/,,,,,,Jefferson County Courthouse,200 Main Street,Brookville,15825,814-849-1628,,,,,
Cory Snook,District Attorney,Pennsylvania,Juniata,Republican,40-50,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/juniataco.jpg,https://www.juniataco.org/elected-officials/district-attorney/,,,,,P.O. Box 212,Juniata County Courthouse,,Mifflintown,17059,717-436-7725,csnook@juniataco.org,,,,
Mark Powell,District Attorney,Pennsylvania,Lackawanna,Democrat,50-60,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/lackawannaco.jpg,http://www.lackawannada.com/,,,,,,,135 Jefferson Avenue,Scranton,18503,(570) 963-6717,LackawannaDA@lackawannacounty.org,,,,
Heather Adams,District Attorney,Pennsylvania,Lancaster,Republican,40-50,female,white,,https://www.pdaa.org/wp-content/uploads/2020/01/lancasterco.jpg,http://www.co.lancaster.pa.us/da,,,,,,Lancaster County Courthouse,50 North Duke Street,Lancaster,17608,(717) 299-8100,,,,,
Joshua Lamancusa,District Attorney,Pennsylvania,Lawrence,Republican,40-50,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/lawrenceco.jpg,https://lawrencecountydistrictattorneysoffice.com/,,,,,,Lawrence County Government Center,430 Court St,New Castle,16101,(724) 656-1916,,,,,
Pier Hess Graf,District Attorney,Pennsylvania,Lebanon,Republican,,female,white,,https://www.pdaa.org/wp-content/uploads/2013/05/lebanonco.jpg,http://www.lebcounty.org/depts/DA/Pages/default.aspx,,,,,Room 11,,400 South Eighth Street,Lebanon,17042,(717) 228-4403,,,,,
James B Martin,District Attorney,Pennsylvania,Lehigh,Republican,70-80,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/lehighco.jpg,https://www.lehighcounty.org/Departments/District-Attorney,,,,,Room 307,Lehigh County Courthouse,,Allentown,18101,610-782-3100,,,,,
Stefanie Salavantis,District Attorney,Pennsylvania,Luzerne,Republican,30-40,female,white,,https://www.pdaa.org/wp-content/uploads/2019/07/luzerneco.jpg,https://www.luzernecounty.org/206/District-Attorney,,,,,,Luzerne County Courthouse,200 North River Street,Wilkes-Barre,18711, 570-825-1674,,,,,
Ryan C Gardner,District Attorney,Pennsylvania,Lycoming,Republican,30-40,male,white,,https://www.pdaa.org/wp-content/uploads/2013/05/lycomingco.jpg,http://www.lyco.org/Elected-Officials/District-Attorney,,,,,,Lycoming County Courthouse,48 West Third Street,Williamsport,17701,570-327-2456,,,,,
Stephanie Vettenburg-Shaffer,District Attorney,Pennsylvania,McKean,Republican,40-50,female,white,,https://www.pdaa.org/wp-content/uploads/2019/07/mckean.jpg,https://www.mckeancountypa.org/other_elected_officials/district_attorney/index.php,,,,,,McKean County Courthouse,500 West Main Street,Smethport,16749,814-887-3312,da@mckeancountypa.org,,,,
Peter Acker,District Attorney,Pennsylvania,Mercer,Republican,60-70,male,white,,https://www.pdaa.org/wp-content/uploads/2013/05/mercer.jpg,https://www.mcc.co.mercer.pa.us/districtattorney/default.htm,,,,,Room 209,Mercer County Courthouse,120 S Diamond St,Mercer,16137,(724) 662-7587,,,,,
Christopher Torquato,District Attorney,Pennsylvania,Mifflin,Republican,50-60,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/mifflin.jpg,http://www.co.mifflin.pa.us/dept/DA/Pages/default.aspx,,,,,,Mifflin County Courthouse,20 North Wayne St,Lewistown,17044,(717) 248-9800,,,,,
"E. David Christine, Jr.",District Attorney,Pennsylvania,Monroe,Democrat,70-80,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/monroeco.jpg,http://www.monroecountyda.com/,,,,,Suite 126,Monroe County Courthouse,610 Monroe Street,Stroudsburg,18360,570-517-3052,info@monroecountyda.com,,,,
Kevin R Steele,District Attorney,Pennsylvania,Montgomery,Democrat,50-60,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/montgomery.jpg,http://www.montcopa.org/da,,,https://www.facebook.com/Montgomery-County-District-Attorneys-Office-96910904678/,https://twitter.com/MontcopaDA,P.O. Box 311,Montgomery County Courthouse,,Norristown,19404,610-278-3090,,,,,
Angela Mattis,District Attorney,Pennsylvania,Montour,Republican,30-40,female,white,,https://www.pdaa.org/wp-content/uploads/2019/07/montourco.jpg,http://www.montourco.org/Pages/Montour-Country-District-Attorney.aspx,,,,,,Montour County Courthouse,253 Mill Street,Danville,17821,570-271-3069,,,,,
Terence Houck,District Attorney,Pennsylvania,Northampton,Democrat,60-70,male,white,,https://www.pdaa.org/wp-content/uploads/2013/05/northamptonco.jpg,https://www.northamptoncounty.org/DISTAT/Pages/default.aspx,,,,,,Northampton County Courthouse,669 Washington St,Easton,18042,(610) 829-6630,,,,,
Tony Matulewicz,District Attorney,Pennsylvania,Northumberland,Republican,40-50,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/northumberland.jpg,https://www.norrycopa.net/index.php/district-attorney/,,,,,,Northumberland County Courthouse,201 Market Street,Sunbury,17801,570.988.4134,,,,,
Andrew Bender,District Attorney,Pennsylvania,Perry,Republican,30-40,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/perry.jpg,https://perryco.org/departments/district-attorney/,,,,,P.O. Box 305,,,New Bloomfield,17068,717-582-2131,,,,,
Raymond Tonkin,District Attorney,Pennsylvania,Pike,Republican,50-60,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/pikeco.jpg,https://www.pikepa.org/da,,,,,,Pike County Administration Building,506 Broad St,Milford,18337,570-296-6620,daoffice@pikepa.org,,,,
Andy Watson,District Attorney,Pennsylvania,Potter,Republican,40-50,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/potterco.jpg,http://www.pottercountypa.net/post.php?pid=27,,,,,Suite 215,Gunzburger Building,1 North Main St,Coudersport,16915,(814) 274-9450,awatson@pottercountypa.net,,,,
Michael O’Pake,District Attorney,Pennsylvania,Schuylkill,Democrat,,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/schuylkillco.jpg,http://www.co.schuylkill.pa.us/,,,,,,Schuylkill County Courthouse,401 North Second St,Pottsville,17901,(570) 628-1350,,,,,
Michael Piecuch,District Attorney,Pennsylvania,Snyder,Republican,40-50,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/snyderco.jpg,http://www.snydercounty.org/Depts/DA_Victim_Services/Pages/DistrictAttorneyandVictimServices.aspx,,,,,P.O. Box 217,Snyder County Courthouse,9 West Market St,Middleburg,17842,(570) 837-4233,districtattorney@snydercounty.org,,,,
Jeffrey L Thomas Jr,District Attorney,Pennsylvania,Somerset,Republican,30-40,male,white,,https://www.pdaa.org/wp-content/uploads/2013/05/somersetco.jpg,http://www.co.somerset.pa.us/department.asp?deptnum=155,,,,,Suite 30,Somerset County Courthouse,111 East Union St,Somerset,15501,(814) 445-1456,,,,,
Leonard Simpson,District Attorney,Pennsylvania,Sullivan,Republican,70-80,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/sullivanco.jpg,https://www.sullivancounty-pa.us/offices/district-attorney,,,,,Drawer W,,245 Muncy St,Laporte,18626,5709464053,,,,,
Marion O’Malley,District Attorney,Pennsylvania,Susquehanna,Republican,50-60,female,white,,https://www.pdaa.org/wp-content/uploads/2013/05/susquehanna.jpg,http://www.susqco.com/Dept/DA/Pages/default.aspx,,,,,P.O. Box 218,,31 Lake Avenue,Montrose,18801,(570) 278-6655,da@susqco.com,,,,
Krista Deats,District Attorney,Pennsylvania,Tioga,Republican,30-40,female,white,,https://www.pdaa.org/wp-content/uploads/2019/07/tioga.jpg,http://www.tiogacountypa.us/Court_of_Common_Pleas/District%20Attorney/Pages/DistrictAttorney.aspx,,,,,,Tioga County Courthouse,118 Main St,Wellsboro,16901,(570) 724-1350,,,,,
D. Peter Johnson,District Attorney,Pennsylvania,Union,Republican,,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/unionco.jpg,http://www.unioncountypa.org/residents/government/courts/da/default.asp,,,,,,Union County Courthouse,103 South Second St,Lewisburg,17837,(570) 524-8651,PJohnson@UnionCo.org,,,,
D. Shawn White,District Attorney,Pennsylvania,Venango,Republican,50-60,male,white,,https://www.pdaa.org/wp-content/uploads/2013/05/venangoco.jpg,https://www.co.venango.pa.us/275/District-Attorney,,,,,P.O. Box 831,,1168 Liberty St,Franklin,16323,814-432-9598,dswhite@co.venango.pa.us,,,,
Robert C Greene,District Attorney,Pennsylvania,Warren,Republican,50-60,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/warrenco.jpg,http://warrencountyda.org/,,,,,,Warren County Courthouse,204 Fourth Ave,Warren,16365,(814) 728-3460,rgreene@warren-county.net,,,,
Eugene A Vittone II,District Attorney,Pennsylvania,Washington,Republican,60-70,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/washingtonco.jpg,http://www.co.washington.pa.us/124/District-Attorney,,,,,Suite 1003,Washington County Courthouse,1 South Main Street,Washington,15301,724-228-6790,,,,,
A.G. Howell,District Attorney,Pennsylvania,Wayne,Republican,,male,white,,https://www.pdaa.org/wp-content/uploads/2020/01/wayneco.jpg,http://waynecountypa.gov/441/District-Attorney,,,,,,Wayne County Courthouse,925 Court Street,Honesdale,18431,570-253-4912,,,,,
John W Peck,District Attorney,Pennsylvania,Westmoreland,Democrat,70-80,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/westmorelandco.jpg,https://www.co.westmoreland.pa.us/304/District-Attorney,,,,,Suite 206,,2 North Main Street,Greensburg,15601,(724) 830-3949,jpeck@co.westmoreland.pa.us,,,,
Jeff Mitchell,District Attorney,Pennsylvania,Wyoming,Democrat,40-50,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/wyomingco.jpg,http://www.wycopa.org/Offices/DA/Pages/default.aspx,,,,,,,1 Courthouse Square,Tunkhannock,18657,(570) 836-4681,,,,,
"David Sunday, Jr.",District Attorney,Pennsylvania,York,Republican,40-50,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/yorkco.jpg,https://www.yorkda.com/,,,https://www.facebook.com/YorkCountyDistrictAttorney,https://twitter.com/yorkcounty_da,,York County Judicial Center,45 North George Street,York,17401,717-771-9600,,,,,
