title,langcode,body
M. Bofill (Bo) Duh,en,"16th Judicial District
Parishes Served: Iberia, St. Martin, St. Mary
300 Iberia Street, Suite 200
New Iberia, LA 70560-4543

Iberia Parish
Office Phone: (337) 369-4420
Office Fax: (337) 364-5302

St. Martin Parish
Office Phone: (337) 394-2220
Office Fax: (337) 394-1301

St. Mary Parish
Office Phone: (337) 828-4100
Office Fax: (337) 828-7905
www.16jda.com/"
Kristine M. Russell,en,"17th Judicial District

Parishes Served: Lafourche
P.O. Box 431
Thibodaux, LA 70302-0431

Lafourche Parish
Office Phone: (985) 447-2003
Office Fax: (985) 446-5810"

Richard J. Ward,en,"18th Judicial District
Parishes Served: Iberville, Pointe Coupee, West Baton Rouge
P.O. Box 880
Plaquemine, LA 70765-0880

Iberville Parish
Office Phone: (225) 687-5210
Office Fax: (225) 687-5208

Pointe Coupee Parish
Office Phone: (225) 638-5531
Office Fax: (225) 638-5546

West Baton Rouge Parish
Office Phone: (225) 336-2410
Office Fax: (225) 387-6478
http://www.rickywardda.com/"
"Hillar C. Moore, III",en,"19th Judicial District
Parishes Served: East Baton Rouge
222 St. Louis Street
Baton Rouge, LA 70802-5878

East Baton Rouge Parish
Office Phone: (225) 389-3412
Office Fax: (225) 389-5610
http://www.ebrda.org/"
Samuel C. D'Aquilla,en,"20th Judicial District
Parishes Served: East Feliciana, West Feliciana
P.O. Box 8428
Clinton, LA 70722-8428

East Feliciana Parish
Office Phone: (225) 683-8563
Office Fax: (225) 683-3117

West Feliciana Parish
Office Phone: (225) 635-4612
Office Fax: (225) 635-4691
http://www.felicianasda.org/index.php
"
Scott M. Perrilloux,en,"21st Judicial District
Parishes Served: Livingston, St. Helena, Tangipahoa
P.O. Box 639
Amite, LA 70422-0639

Livingston Parish
Office Phone: (225) 686-3070
Office Fax: (225) 686-7036

St. Helena Parish
Office Phone: (225) 222-6159
Office Fax: (225) 222-6530

Tangipahoa Parish
Office Phone: (985) 748-7890
Office Fax: (985) 748-9932
www.21jdda.org/
"
Warren Montgomery,en,"22nd Judicial District
Parishes Served: St. Tammany, Washington
701 N. Columbia Street
Covington, LA 70433-2709

St. Tammany Parish - Covington Office
Office Phone: (985) 809-8383
Office Fax: (985) 809-8312

Washington Parish - Franklinton Office
Office Phone: (985) 839-6711
Office Fax: (985) 839-7860
damontgomery.org"
Ricky Babin,en,"23rd Judicial District
Parishes Served: Ascension, Assumption, St. James

P.O. Drawer 750
Donaldsonville, LA 70346-0750

Ascension Parish - Donaldsonville
Office Phone: (225) 473-6777
Office Fax: (255) 473-1965

Ascension Parish - Gonzales
Office Phone: (225) 644-3333
Office Fax: (255) 644-1535

Assumption Parish - Napoleonville
Office Phone: (985) 369-9905
Office Fax: (985) 369-2314

St. James Parish - Convent
Office Phone: (225) 562-2434
Office Fax: (225) 562-2435
http://www.23rdda.org/"
"Paul D. Connick, Jr.",en,"24th Judicial District
Parishes Served: Jefferson

200 Derbigny Street
Gretna, LA 70053-5850

Jefferson Parish
Office Phone: (504) 368-1020
Office Fax: (504) 361-2585
http://www.jpda.us/
"
Charles J. Ballay,en,"25th Judicial District
Parishes Served: Plaquemines
102 Avenue G
Belle Chase, LA 70037-2710

Plaquemines Parish
Office Phone: (504) 297-5146
Office Fax: (504) 297-5157
www.25thda.org"
"John ""Schuyler"" Marvin",en,"26th Judicial District
Parishes Served: Bossier, Webster
P.O. Box 69
Benton, LA 71006-0069

Bossier Parish
Office Phone: (318) 965-2332
Office Fax: (318) 965-3797

Webster Parish
Office Phone: (318) 377-7557
Office Fax: (318) 377-1519
http://www.26thda.org/"
Earl B. Taylor,en,"27th Judicial District
Parishes Served: St. Landry
P.O. Box 1968
Opelousas, LA 70571-1968

St. Landry Parish
Phone: (337) 948-3041
Fax: (337) 942-4663
http://www.the-good-guys.org/"
J. Reed Walters,en,"28th Judicial District
Parishes Served: LaSalle
P.O. Box 1940
Jena, LA 71342-1940

LaSalle Parish
Office Phone: (318) 992-8282
Office Fax: (318) 992-4731"
Joel T. Chaisson II,en,"29th Judicial District
Parishes Served: St. Charles
P.O. Box 680
Hahnville, LA 70057-0680

St. Charles Parish
Office Phone: (985) 783-6263
Office Fax: (985) 783-6526
http://www.stcharlesda.org/"
Asa A. Skinner,en,"30th Judicial District
Parishes Served: Vernon
P.O. Box 1188
Leesville, LA 71496-1188

Vernon Parish
Office Phone: (337) 239-2008
Office Fax: (337) 238-4008"
Michael C. Cassidy,en,"31st Judicial District
Parishes Served: Jefferson Davis
P.O. Box 1388
Jennings, LA 70546-1388

Jefferson Davis Parish
Office Phone: (337) 824-1893
Office Fax: (337) 824-3311
http://jeffdavisda.org"
"Joseph L. Waitz, Jr.",en,"32nd Judicial District
Parishes Served: Terrebonne
P.O. Box 3600
Houma, LA 70361-3600

Terrebonne Parish
Office Phone: (985) 873-6500
Office Fax: (985) 873-6510
http://www.tpda.org/"
H. Todd Nesom,en,"33rd Judicial District
Parishes Served: Allen
H. Todd Nesom
P.O. Box 839
Oberlin, LA 70655-0839

Allen Parish
Office Phone: (337) 639-2641
Office Fax: (337) 639-4506
www.da33jdc.com"
Perry M. Nicosia,en,"34th Judicial District
Parishes Served: St. Bernard
P.O. Box 947
Chalmette, LA 70044-0947

St. Bernard Parish
Office Phone: (504) 271-1658
Office Fax: (504) 279-2874"
"James ""Jay"" P. Lemoine",en,"35th Judicial District
Parishes Served: Grant
P.O. Box 309
Colfax, LA 71417-0309

Grant Parish
Office Phone: (318) 627-3205
Office Fax: (318) 627-3526
http://www.grantda.org/"
James R. Lestage,en,"36th Judicial District
Parishes Served: Beauregard
P.O. Box 99
DeRidder, LA 70634-0099

Beauregard Parish
Office Phone: (337) 463-5578
Office Fax: (337) 462-6925"
Brian Frazier,en,"37th Judicial District
Parishes Served: Caldwell
P.O. Box 839
Columbia, LA 71418-0839

Caldwell Parish
Office Phone: (318) 649-7410
Office Fax: (318) 649-5985
"
Jennifer A. Jones,en,"38th Judicial District
Parishes Served: Cameron
P.O. Box 280
Cameron, LA 70631-0280

Cameron Parish
Office Phone: (337) 775-5713
Office Fax: (337) 775-8152"
Julie C. Jones,en,"39th Judicial District
Parishes Served: Red River
P.O. Box 606
Coushatta, LA 71019-0606

Red River Parish
Office Phone: (318) 932-4035
Office Fax: (318) 932-3519
http://redriverda.com/"
Bridget A. Dinvaut,en,"40th Judicial District
Parishes Served: St. John
1342 LA Hwy. 44
Reserve, LA 70084-6055

St. John Parish
Office Phone: (985) 652-9757
Office Fax: (985) 651-6753
http://stjohnda.com/"
"Leon A. Cannizzaro, Jr.",en,"41st (Orleans) Judicial District
Parishes Served: Orleans
619 S. White Street
New Orleans, LA 70119-7348

Orleans Parish
Office Phone: (504) 822-2414
Office Fax: (504) 827-6393
http://www.orleansda.com"
Gary Evans,en,"42nd Judicial District
Parishes Served: DeSoto
P.O. Box 432
Mansfield, LA 71052-0432

DeSoto Parish
Office Phone: (318) 872-2991
Office Fax: (318) 872-6422"
