title,langcode,role,county,officeInfo,phone,fax,email,website,profileImage
Angelo J. Onofri,en,District Attorney,Mercer ,"209 South Broad Street
3rd Floor
Trenton, NJ 08650-0068",(609) 989-6309,,prosecutor@co.middlesex.nj.us,http://mercercountyprosecutor.com/,http://mercercountyprosecutor.com/wp-content/uploads/2015/07/Onofri-2016-1024x852.jpg
Christopher L. C. Kuberiet,en,District Attorney,Middlesex ,"25 Kirkpatrick Street
3rd Floor
New Brunswick, NJ 08901",(732) 745-3300,,,http://www.middlesexcountynj.gov/Government/Departments/PSH/Prosecutor/Pages/main.aspx,http://www.middlesexcountynj.gov/Government/Departments/PSH/Prosecutor/News/PublishingImages/Middlesex%20County%20Acting%20Prosecutor%20Christopher%20L.%20C.%20Kuberiet.jpg
Christopher J. Gramiccioni,en,District Attorney,Monmouth ,"132 Jerseyville Avenue
Freehold, New Jersey 07728",(732) 431-7160,,prosecutor@mcponj.org,http://mcponj.org/,https://i0.wp.com/mcponj.org/wp-content/uploads/2018/10/IMG_0262-e1539270917982.jpg?resize=218%2C300
Fredric M. Knapp,en,District Attorney,Morris ,"P.O. Box 900 – Court Street
Morristown, NJ 07963-0900",(973) 285-6200,(973) 285-6226,prosecutor@co.morris.nj.us,https://prosecutor.morriscountynj.gov/,https://prosecutor.morriscountynj.gov/wp-content/uploads/2016/02/prosecutor-thumb.jpg
Bradley D. Billhimer,en,District Attorney,Ocean ,"119 Hooper Avenue
Toms River, New Jersey 08753",(732) 929-2027,,,https://ocponj.gov/,https://s17368.pcdn.co/wp-content/uploads/2018/12/DSC_6313.jpg
Camelia M. Valdes,en,District Attorney,Passaic ,"401 Grand St
Paterson, NJ 07505",(973) 881-4800,(973) 225-0155,,http://www.passaiccountynj.org/government/elected_and_appointed_officials/passaic_county_prosecutor/administration.php,https://steveadubato.org/images/Camilia_Valdes_250x376_border-233x350.jpg
John T. Lenahan,en,District Attorney,Salem ,"Fenwick Building, 2nd Floor
87 Market St., PO Box 462
Salem, NJ 08079-0462",(856) 935-7510,(856) 935-8737,,https://www.salemcountyprosecutor.org/,https://www.nj.com/resizer/Ng70VPCk7T01dpvW5oXqtKtUBs4=/1200x0/advancelocal-adapter-image-uploads.s3.amazonaws.com/image.nj.com/home/njo-media/width2048/img/salem_impact/photo/lenahanjpg-b77d55b5e89a8290.jpg
Michael H. Robertson,en,District Attorney,Somerset ,"20 Grove Street
P.O. Box 3000
Somerville, NJ 08876-1262",(908) 231-7000,,publicinfo@co.somerset.nj.us,https://www.co.somerset.nj.us/government/affiliated-agencies/prosecutor-s-office,https://cover2.org/wp-content/uploads/2017/11/Michael-H.-Robertson-photo.jpg
Francis A. Koch,en,District Attorney,Sussex ,"19-21 High Street
Newton, NJ 07860",(973) 383-1570,(973) 383-4929,,https://www.sussex.nj.us/cn/webpage.cfm?TPID=11623,https://www.naco.org/sites/default/files/styles/medium/public/francis%20koch.jpg?itok=2ix5Y4nj
Lyndsay V. Ruotolo,en,District Attorney,Union ,"32 Rahway Ave
Elizabeth, NJ 07202",(908) 527-4500,,ucpo@ucnj.org,https://ucnj.org/prosecutor/,https://ucnj.org/prosecutor/wp-content/uploads/sites/6/2019/07/Lyndsay-Ruotolo.jpg
Richard T. Burke,en,District Attorney,Warren ,"413 Second Street
Belvidere, New Jersey 07823",(908) 475-6275,(908) 475-6286,,http://www.wcpo-nj.us/,http://www.wcpo-nj.us/images/prosecutor.jpg
